               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  95,            0.019802,           0.0067802,                   0,             0.99996,                   1,               0.995,             0.86604,           0.0096194,           0.0025858,                   0,           0.0096055,           0.0096055,           0.0096055
                  96,            0.020345,           0.0069697,                   0,             0.99998,                   1,               0.995,              0.8572,           0.0093204,           0.0024259,                   0,           0.0095971,           0.0095971,           0.0095971
                  97,             0.01957,           0.0069839,                   0,             0.99996,                   1,               0.995,             0.85116,           0.0094906,           0.0024725,                   0,           0.0095888,           0.0095888,           0.0095888
                  98,            0.018734,           0.0070859,                   0,             0.99997,                   1,               0.995,              0.8713,           0.0082141,           0.0024696,                   0,           0.0095803,           0.0095803,           0.0095803
                  99,            0.019384,           0.0071667,                   0,             0.99999,                   1,               0.995,             0.85415,           0.0093233,           0.0025203,                   0,           0.0095717,           0.0095717,           0.0095717
                 100,            0.020465,           0.0071432,                   0,             0.99998,                   1,               0.995,             0.85647,           0.0091923,           0.0023126,                   0,           0.0095631,           0.0095631,           0.0095631
                 101,            0.019456,           0.0072772,                   0,             0.99997,                   1,               0.995,             0.87158,           0.0083751,           0.0024049,                   0,           0.0095544,           0.0095544,           0.0095544
                 102,             0.02087,           0.0074239,                   0,             0.99997,                   1,               0.995,             0.86245,           0.0090837,           0.0024222,                   0,           0.0095456,           0.0095456,           0.0095456
                 103,            0.019391,           0.0069869,                   0,             0.99999,                   1,               0.995,             0.84267,           0.0099288,           0.0024497,                   0,           0.0095367,           0.0095367,           0.0095367
                 104,            0.017236,           0.0070487,                   0,             0.99997,                   1,               0.995,              0.8502,           0.0094161,           0.0023489,                   0,           0.0095277,           0.0095277,           0.0095277
                 105,             0.02142,           0.0074748,                   0,             0.99997,                   1,               0.995,             0.84072,            0.010072,           0.0024602,                   0,           0.0095187,           0.0095187,           0.0095187
                 106,            0.018694,           0.0070951,                   0,             0.99998,                   1,               0.995,             0.84628,           0.0095541,           0.0025218,                   0,           0.0095095,           0.0095095,           0.0095095
                 107,            0.021482,           0.0070178,                   0,             0.99998,                   1,               0.995,             0.87006,           0.0095143,           0.0025023,                   0,           0.0095003,           0.0095003,           0.0095003
                 108,            0.019648,            0.006562,                   0,             0.99999,                   1,               0.995,             0.86333,           0.0090202,            0.002378,                   0,            0.009491,            0.009491,            0.009491
                 109,            0.018968,           0.0065867,                   0,             0.99996,                   1,               0.995,             0.85876,           0.0098738,            0.002427,                   0,           0.0094817,           0.0094817,           0.0094817
                 110,            0.020288,           0.0067087,                   0,             0.99997,                   1,               0.995,             0.87099,            0.010117,           0.0024568,                   0,           0.0094722,           0.0094722,           0.0094722
                 111,            0.020457,           0.0065564,                   0,             0.99998,                   1,               0.995,             0.86386,           0.0099825,           0.0024697,                   0,           0.0094627,           0.0094627,           0.0094627
                 112,            0.017185,           0.0065605,                   0,             0.99998,                   1,               0.995,             0.85707,            0.009574,           0.0025467,                   0,           0.0094531,           0.0094531,           0.0094531
                 113,            0.020845,           0.0071083,                   0,             0.99995,                   1,               0.995,             0.86085,            0.010052,           0.0024301,                   0,           0.0094434,           0.0094434,           0.0094434
                 114,            0.017983,           0.0072298,                   0,             0.99994,                   1,               0.995,             0.83805,            0.009046,           0.0024898,                   0,           0.0094336,           0.0094336,           0.0094336
                 115,            0.019354,           0.0066832,                   0,             0.99998,                   1,               0.995,             0.86937,            0.008946,           0.0024636,                   0,           0.0094238,           0.0094238,           0.0094238
                 116,            0.018645,           0.0070137,                   0,             0.99999,                   1,               0.995,             0.87473,            0.008275,            0.002616,                   0,           0.0094138,           0.0094138,           0.0094138
                 117,            0.019916,           0.0071031,                   0,                   1,                   1,               0.995,             0.85489,           0.0093367,           0.0026732,                   0,           0.0094038,           0.0094038,           0.0094038
                 118,            0.018234,           0.0062002,                   0,             0.99994,                   1,               0.995,             0.85382,           0.0092247,           0.0025108,                   0,           0.0093937,           0.0093937,           0.0093937
                 119,            0.020074,           0.0068157,                   0,             0.99996,                   1,               0.995,               0.861,           0.0088029,           0.0027273,                   0,           0.0093836,           0.0093836,           0.0093836
                 120,            0.019743,           0.0070545,                   0,             0.99995,                   1,               0.995,             0.87299,           0.0088212,           0.0024998,                   0,           0.0093733,           0.0093733,           0.0093733
                 121,            0.018322,           0.0063372,                   0,                   1,                   1,               0.995,             0.84424,            0.010539,           0.0026363,                   0,            0.009363,            0.009363,            0.009363
                 122,            0.020195,           0.0067632,                   0,             0.99999,                   1,               0.995,              0.8541,           0.0096336,           0.0025101,                   0,           0.0093526,           0.0093526,           0.0093526
                 123,            0.017415,           0.0067032,                   0,             0.99996,                   1,               0.995,             0.84964,           0.0099438,           0.0025296,                   0,           0.0093421,           0.0093421,           0.0093421
                 124,            0.017831,           0.0073937,                   0,             0.99997,                   1,               0.995,             0.85475,            0.009088,           0.0026081,                   0,           0.0093316,           0.0093316,           0.0093316
                 125,            0.019065,           0.0065822,                   0,             0.99997,                   1,               0.995,              0.8689,           0.0090667,           0.0026579,                   0,            0.009321,            0.009321,            0.009321
                 126,            0.018616,           0.0066514,                   0,             0.99999,                   1,               0.995,             0.86679,           0.0084799,           0.0025341,                   0,           0.0093103,           0.0093103,           0.0093103
                 127,            0.017285,           0.0068548,                   0,             0.99997,                   1,               0.995,             0.87523,           0.0087602,           0.0025422,                   0,           0.0092995,           0.0092995,           0.0092995
                 128,            0.017577,           0.0066348,                   0,             0.99998,                   1,               0.995,              0.8802,           0.0084556,           0.0025106,                   0,           0.0092886,           0.0092886,           0.0092886
                 129,            0.017635,           0.0063496,                   0,             0.99998,                   1,               0.995,             0.86319,           0.0095677,           0.0024189,                   0,           0.0092777,           0.0092777,           0.0092777
                 130,            0.017375,           0.0064792,                   0,             0.99997,                   1,               0.995,             0.86997,            0.008344,           0.0022922,                   0,           0.0092667,           0.0092667,           0.0092667
                 131,            0.018281,           0.0064898,                   0,             0.99996,                   1,               0.995,             0.87575,           0.0094973,           0.0024079,                   0,           0.0092556,           0.0092556,           0.0092556
                 132,            0.018051,           0.0065383,                   0,             0.99997,                   1,               0.995,             0.83013,           0.0091356,           0.0024473,                   0,           0.0092444,           0.0092444,           0.0092444
                 133,            0.021473,           0.0066002,                   0,             0.99997,                   1,               0.995,             0.85276,           0.0091398,           0.0023649,                   0,           0.0092332,           0.0092332,           0.0092332
                 134,            0.018734,           0.0066939,                   0,             0.99997,                   1,               0.995,             0.85557,           0.0083821,           0.0023975,                   0,           0.0092219,           0.0092219,           0.0092219
                 135,             0.01978,           0.0066129,                   0,             0.99997,                   1,               0.995,             0.87546,           0.0079793,           0.0023664,                   0,           0.0092105,           0.0092105,           0.0092105
                 136,            0.019115,           0.0060852,                   0,             0.99998,                   1,               0.995,              0.8882,           0.0074809,           0.0021986,                   0,            0.009199,            0.009199,            0.009199
                 137,            0.018318,            0.006515,                   0,             0.99999,                   1,               0.995,             0.86953,           0.0081832,           0.0022974,                   0,           0.0091875,           0.0091875,           0.0091875
                 138,            0.017733,            0.005998,                   0,             0.99997,                   1,               0.995,             0.87065,           0.0092766,            0.002315,                   0,           0.0091759,           0.0091759,           0.0091759
                 139,            0.018192,           0.0065962,                   0,             0.99997,                   1,               0.995,             0.84257,           0.0085673,           0.0024277,                   0,           0.0091642,           0.0091642,           0.0091642
                 140,            0.016642,           0.0061784,                   0,                   1,                   1,               0.995,             0.84231,           0.0088198,           0.0023321,                   0,           0.0091524,           0.0091524,           0.0091524
                 141,             0.01794,           0.0063294,                   0,             0.99999,                   1,               0.995,             0.87438,           0.0087026,           0.0024109,                   0,           0.0091406,           0.0091406,           0.0091406
                 142,            0.017131,           0.0064771,                   0,             0.99997,                   1,               0.995,             0.87742,            0.008056,           0.0024248,                   0,           0.0091287,           0.0091287,           0.0091287
                 143,             0.01695,           0.0066743,                   0,             0.99998,                   1,               0.995,             0.86505,           0.0082322,           0.0024816,                   0,           0.0091167,           0.0091167,           0.0091167
                 144,            0.016386,           0.0063899,                   0,             0.99999,                   1,               0.995,             0.86643,           0.0075102,           0.0022986,                   0,           0.0091046,           0.0091046,           0.0091046
                 145,            0.016057,           0.0061262,                   0,             0.99996,                   1,               0.995,             0.87173,           0.0076815,           0.0023118,                   0,           0.0090925,           0.0090925,           0.0090925
                 146,            0.015829,           0.0062125,                   0,             0.99996,                   1,               0.995,             0.86208,           0.0081732,           0.0023289,                   0,           0.0090803,           0.0090803,           0.0090803
                 147,            0.015831,           0.0061114,                   0,             0.99999,                   1,               0.995,             0.87847,           0.0086735,           0.0023303,                   0,            0.009068,            0.009068,            0.009068
                 148,            0.016629,           0.0059199,                   0,             0.99997,                   1,               0.995,             0.87247,           0.0084752,            0.002203,                   0,           0.0090557,           0.0090557,           0.0090557
                 149,            0.015798,           0.0064549,                   0,                   1,             0.99996,               0.995,             0.87199,           0.0089498,            0.002405,                   0,           0.0090433,           0.0090433,           0.0090433
                 150,            0.017075,           0.0065048,                   0,             0.99999,                   1,               0.995,             0.87405,           0.0091636,           0.0023662,                   0,           0.0090308,           0.0090308,           0.0090308
                 151,            0.015784,             0.00658,                   0,             0.99999,                   1,               0.995,             0.86902,           0.0078135,           0.0022753,                   0,           0.0090182,           0.0090182,           0.0090182
                 152,            0.016066,           0.0065013,                   0,             0.99998,                   1,               0.995,              0.8554,           0.0079545,           0.0022744,                   0,           0.0090056,           0.0090056,           0.0090056
                 153,             0.01799,           0.0064957,                   0,             0.99996,                   1,               0.995,              0.8483,           0.0080996,            0.002257,                   0,           0.0089929,           0.0089929,           0.0089929
                 154,             0.01548,           0.0062342,                   0,             0.99998,                   1,               0.995,             0.86266,           0.0078614,           0.0023757,                   0,           0.0089801,           0.0089801,           0.0089801
                 155,             0.01675,           0.0067097,                   0,             0.99998,                   1,               0.995,             0.86272,           0.0078276,           0.0023165,                   0,           0.0089673,           0.0089673,           0.0089673
                 156,            0.016893,           0.0069461,                   0,             0.99999,                   1,               0.995,             0.88007,           0.0079887,           0.0023635,                   0,           0.0089544,           0.0089544,           0.0089544
                 157,            0.016303,            0.006231,                   0,             0.99997,                   1,               0.995,             0.86723,           0.0080187,           0.0023127,                   0,           0.0089414,           0.0089414,           0.0089414
